Bin Edges (MeV)	Photon Count
5.34531824	186.0
5.35631684	169.0
5.36731543	161.0
5.37831403	176.0
5.38931263	127.0
5.40031122	109.0
5.41130982	98.0
5.42230842	66.0
5.43330702	82.0
5.44430561	67.0
5.45530421	64.0
5.46630281	86.0
5.4773014	23.0
